date,media,article_id,category,subcategory,page_views
20260815,Digmedia,313609,志望動機,業界,1
20260815,Digmedia,313616,自己PR,prjob,1
20260815,Digmedia,313621,自己PR,prjob,4
20260815,Digmedia,313622,自己PR,prjob,1
20260815,Digmedia,313629,自己PR,prjob,3
20260815,Digmedia,313631,自己PR,prjob,1
20260815,Digmedia,313636,自己PR,prjob,2
20260815,Digmedia,313637,自己PR,prjob,3
20260815,Digmedia,313639,自己PR,prjob,1
20260815,Digmedia,313647,自己PR,prjob,1
20260815,Digmedia,313648,自己PR,prjob,3
20260815,Digmedia,313649,自己PR,prjob,1
20260815,Digmedia,313650,自己PR,prjob,0
20260815,Digmedia,313651,自己PR,prjob,9
20260815,Digmedia,313654,自己PR,prjob,1
20260815,Digmedia,313657,3年生,Calendar,2
20260815,Digmedia,313676,志望動機,Tscore,1
20260815,Digmedia,313681,志望動機,志望動機,2
20260815,Digmedia,313694,志望動機,志望動機,1
20260815,Digmedia,313701,志望動機,Tscore,4
20260815,Digmedia,313709,志望動機,Tscore,2
20260815,Digmedia,313712,志望動機,Tscore,2
20260815,Digmedia,313714,志望動機,Tscore,2
20260815,Digmedia,313717,志望動機,Tscore,1
20260815,Digmedia,313718,志望動機,Tscore,1
20260815,Digmedia,313724,志望動機,ヒエラルキー,8
20260815,Digmedia,313725,志望動機,ヒエラルキー,1
20260815,Digmedia,313728,ES,es,1
20260815,Digmedia,313740,ES,es,1
20260815,Digmedia,313744,ES,es,0
20260815,Digmedia,313758,ES,es,1
20260815,Digmedia,313766,ES,es,1
20260815,Digmedia,313863,ES,es,1
20260815,Digmedia,313907,テスト,test,1
20260815,Digmedia,313915,テスト,test,2
20260815,Digmedia,313922,テスト,test,1
20260815,Digmedia,313923,テスト,test,1
20260815,Digmedia,313932,テスト,test,1
20260815,Digmedia,313940,テスト,test,1
20260815,Digmedia,313943,テスト,test,7
20260815,Digmedia,313944,テスト,test,1
20260815,Digmedia,313948,テスト,test,1
20260815,Digmedia,313952,テスト,test,1
20260815,Digmedia,313957,テスト,test,1
20260815,Digmedia,313977,テスト,test,1
20260815,Digmedia,313980,テスト,test,1
20260815,Digmedia,313986,自己PR,自己分析,2
20260815,Digmedia,313989,志望動機,志望動機,3
20260815,Digmedia,313990,志望動機,志望動機,2
20260815,Digmedia,314001,テスト,test,1
20260815,Digmedia,314003,テスト,test,1
20260815,Digmedia,314015,テスト,test,1
20260815,Digmedia,314021,テスト,test,2
20260815,Digmedia,314055,テスト,test,0
20260815,Digmedia,314065,テスト,test,1
20260815,Digmedia,314070,テスト,test,1
20260815,Digmedia,314080,テスト,test,1
20260815,Digmedia,314091,テスト,test,4
20260815,Digmedia,314094,テスト,test,1
20260815,Digmedia,314095,テスト,test,10
20260815,Digmedia,314101,テスト,test,1
20260815,Digmedia,314105,テスト,test,1
20260815,Digmedia,314116,テスト,test,1
20260815,Digmedia,314121,テスト,test,1
20260815,Digmedia,314131,志望動機,ヒエラルキー,1
20260815,Digmedia,314136,志望動機,ヒエラルキー,1
20260815,Digmedia,314157,志望動機,業界,2
20260815,Digmedia,314158,志望動機,業界,1
20260815,Digmedia,314161,志望動機,業界,1
20260815,Digmedia,314162,志望動機,業界,1
20260815,Digmedia,314164,志望動機,業界,1
20260815,Digmedia,314233,志望動機,志望動機,1
20260815,Digmedia,314238,志望動機,業界,1
20260815,Digmedia,314242,自己PR,pr,1
20260815,Digmedia,314260,テスト,test,1
20260815,Digmedia,314278,テスト,test,2
20260815,Digmedia,314286,テスト,test,2
20260815,Digmedia,314323,3年生,Selection,1
20260815,Digmedia,314329,3年生,Selection,1
20260815,Digmedia,314343,テスト,test,1
20260815,Digmedia,314421,3年生,Selection,1
20260815,Digmedia,314425,3年生,Selection,1
20260815,Digmedia,314440,3年生,Selection,1
20260815,Digmedia,314445,3年生,Selection,1
20260815,Digmedia,314448,3年生,Selection,1
20260815,Digmedia,314491,テスト,test,2
20260815,Digmedia,314498,テスト,test,1
20260815,Digmedia,314503,テスト,test,1
20260815,Digmedia,314533,テスト,test,1
20260815,Digmedia,314535,テスト,test,1
20260815,Digmedia,314542,テスト,test,1
20260815,Digmedia,314543,テスト,test,1
20260815,Digmedia,314544,志望動機,業界,2
20260815,Digmedia,314561,テスト,test,1
20260815,Digmedia,314573,テスト,test,1
20260815,Digmedia,314608,テスト,test,1
20260815,Digmedia,314614,テスト,test,2
20260815,Digmedia,314656,テスト,test,1
20260815,Digmedia,314662,テスト,test,2
20260815,Digmedia,314677,テスト,test,1
20260815,Digmedia,314682,テスト,test,3
20260815,Digmedia,314704,テスト,test,2
20260815,Digmedia,314713,テスト,test,3
20260815,Digmedia,314727,テスト,test,2
20260815,Digmedia,314755,テスト,test,1
